diet,sim,value,rank
PHD_total_FL,baseline,0.545997376786813,1
CURRENT_total_FL,baseline,0.557029332486078,2
VEG_total_FL,baseline,0.567823119238849,3
HUS_total_FL,baseline,0.772848185705018,4
MED_total_FL,baseline,0.8238907656823,5
PHD_total_FL,max_added_sugar,0.579961330063687,1
VEG_total_FL,max_added_sugar,0.6106204393962,2
CURRENT_total_FL,max_added_sugar,0.64415256008875,3
HUS_total_FL,max_added_sugar,0.813933613056075,4
MED_total_FL,max_added_sugar,0.864976193033356,5
PHD_total_FL,max_dairy_tot,0.826286557137316,1
CURRENT_total_FL,max_dairy_tot,0.846317372809749,2
VEG_total_FL,max_dairy_tot,1.19426943732222,3
MED_total_FL,max_dairy_tot,1.24152164440455,4
HUS_total_FL,max_dairy_tot,1.39929450378839,5
CURRENT_total_FL,max_fruit_exc_juice,0.949006424913802,1
PHD_total_FL,max_fruit_exc_juice,0.988347179459005,2
VEG_total_FL,max_fruit_exc_juice,1.42498571699967,3
HUS_total_FL,max_fruit_exc_juice,1.63001078346583,4
MED_total_FL,max_fruit_exc_juice,1.89256101743604,5
PHD_total_FL,max_fruit_juice,0.661578661103138,1
CURRENT_total_FL,max_fruit_juice,0.713119667049654,2
VEG_total_FL,max_fruit_juice,0.908257177584839,3
HUS_total_FL,max_fruit_juice,1.11328224405101,4
MED_total_FL,max_fruit_juice,1.2531337088142,5
PHD_total_FL,max_gr_refined,0.545997376786813,1
VEG_total_FL,max_gr_refined,0.744271883368303,2
CURRENT_total_FL,max_gr_refined,0.865871144315783,3
HUS_total_FL,max_gr_refined,0.949296949834472,4
MED_total_FL,max_gr_refined,1.00033952981175,5
CURRENT_total_FL,max_gr_whole,0.631019531885974,1
VEG_total_FL,max_gr_whole,0.859668770743807,2
HUS_total_FL,max_gr_whole,1.0230016012807,3
MED_total_FL,max_gr_whole,1.07404418125798,4
PHD_total_FL,max_gr_whole,1.1923545628829,5
CURRENT_total_FL,max_leg_tot,0.564134993858995,1
PHD_total_FL,max_leg_tot,0.59171407053533,2
VEG_total_FL,max_leg_tot,0.603188927639395,3
HUS_total_FL,max_leg_tot,0.784427026889538,4
MED_total_FL,max_leg_tot,0.83546960686682,5
CURRENT_total_FL,max_oil,0.813042831632112,1
VEG_total_FL,max_oil,0.818469221936821,2
PHD_total_FL,max_oil,0.843059424428854,3
HUS_total_FL,max_oil,1.02349428840299,4
MED_total_FL,max_oil,1.07453686838027,5
PHD_total_FL,max_pf_egg,0.557770649583243,1
CURRENT_total_FL,max_pf_egg,0.590796180459676,2
VEG_total_FL,max_pf_egg,0.592081236264459,3
HUS_total_FL,max_pf_egg,0.800017276773701,4
MED_total_FL,max_pf_egg,0.851059856750983,5
CURRENT_total_FL,max_pf_ns,0.737144189504523,1
VEG_total_FL,max_pf_ns,0.808722141835037,2
HUS_total_FL,max_pf_ns,0.924614569940617,3
MED_total_FL,max_pf_ns,0.975657149917898,4
PHD_total_FL,max_pf_ns,1.18839477037665,5
PHD_total_FL,max_pf_poultry_tot,0.546479351740972,1
CURRENT_total_FL,max_pf_poultry_tot,0.558132494212265,2
VEG_total_FL,max_pf_poultry_tot,0.567823119238849,3
HUS_total_FL,max_pf_poultry_tot,0.773727789996358,4
MED_total_FL,max_pf_poultry_tot,0.82477036997364,5
PHD_total_FL,max_pf_redm_tot,0.554360223800171,1
VEG_total_FL,max_pf_redm_tot,0.567823119238849,2
CURRENT_total_FL,max_pf_redm_tot,0.608178915090101,3
HUS_total_FL,max_pf_redm_tot,0.813818669242782,4
MED_total_FL,max_pf_redm_tot,0.864861249220064,5
VEG_total_FL,max_pf_seafood,0.567823119238849,1
CURRENT_total_FL,max_pf_seafood,0.68777372244127,2
PHD_total_FL,max_pf_seafood,0.711124602081352,3
HUS_total_FL,max_pf_seafood,1.01716908027347,4
MED_total_FL,max_pf_seafood,1.28199244299814,5
CURRENT_total_FL,max_sat_fat,0.557029332486078,1
PHD_total_FL,max_sat_fat,0.559782214974871,2
VEG_total_FL,max_sat_fat,0.588104484275422,3
HUS_total_FL,max_sat_fat,0.792318296140128,4
MED_total_FL,max_sat_fat,0.84336087611741,5
CURRENT_total_FL,max_veg_dg,0.645389094387244,1
VEG_total_FL,max_veg_dg,0.680112585803818,2
HUS_total_FL,max_veg_dg,0.885137652269987,3
PHD_total_FL,max_veg_dg,0.901263485692929,4
MED_total_FL,max_veg_dg,0.936180232247268,5
CURRENT_total_FL,max_veg_oth,1.35710859436825,1
PHD_total_FL,max_veg_oth,1.36516744670829,2
VEG_total_FL,max_veg_oth,1.38699318916033,3
HUS_total_FL,max_veg_oth,1.59201825562649,4
MED_total_FL,max_veg_oth,1.64306083560378,5
CURRENT_total_FL,max_veg_ro,0.595152826321043,1
PHD_total_FL,max_veg_ro,0.602331941273349,2
VEG_total_FL,max_veg_ro,0.647496289012664,3
HUS_total_FL,max_veg_ro,0.852521355478833,4
MED_total_FL,max_veg_ro,0.903563935456114,5
PHD_total_FL,max_veg_sta,2.23746338015871,1
CURRENT_total_FL,max_veg_sta,2.9966715788552,2
VEG_total_FL,max_veg_sta,4.61525962730731,3
HUS_total_FL,max_veg_sta,4.82028469377348,4
MED_total_FL,max_veg_sta,4.87132727375076,5
PHD_total_FL,min_added_sugar,0.539847072214938,1
CURRENT_total_FL,min_added_sugar,0.541252771357487,2
VEG_total_FL,min_added_sugar,0.560073239485983,3
HUS_total_FL,min_added_sugar,0.765408301142266,4
MED_total_FL,min_added_sugar,0.816450881119548,5
PHD_total_FL,min_dairy_tot,0.537520460006458,1
CURRENT_total_FL,min_dairy_tot,0.548280258974538,2
VEG_total_FL,min_dairy_tot,0.548877210234756,3
HUS_total_FL,min_dairy_tot,0.753902276700925,4
MED_total_FL,min_dairy_tot,0.811260159679571,5
VEG_total_FL,min_fruit_exc_juice,0.501818361665604,1
PHD_total_FL,min_fruit_exc_juice,0.511934771203901,2
CURRENT_total_FL,min_fruit_exc_juice,0.526845615852216,3
HUS_total_FL,min_fruit_exc_juice,0.706843428131773,4
MED_total_FL,min_fruit_exc_juice,0.741599119876695,5
VEG_total_FL,min_fruit_juice,0.514842516255922,1
PHD_total_FL,min_fruit_juice,0.528009851783082,2
CURRENT_total_FL,min_fruit_juice,0.532737520776157,3
HUS_total_FL,min_fruit_juice,0.71986758272209,4
MED_total_FL,min_fruit_juice,0.757089135834261,5
