foodgroup,pattern,data_type,value,sum,prop
pf_seafood,MED,FL,0.15592160016699189,0.8238907656822997,18.925033106526744
sat_fat,MED,FL,0.027346128301394733,0.8238907656822997,3.319144896441243
veg_dg,MED,FL,0.008509294060025319,0.8238907656822997,1.0328182344632062
veg_oth,MED,FL,0.02335313579670226,0.8238907656822997,2.8344941792571876
veg_ro,MED,FL,0.033838405466203536,0.8238907656822997,4.107147072850183
veg_sta,MED,FL,0.008658563005322624,0.8238907656822997,1.050935799499111
added_sugar,PHD,FL,0.010266506403369673,0.5459973767868131,1.8803215619437437
dairy_tot,PHD,FL,0.08205322977382987,0.5459973767868131,15.02813626261576
fruit_exc_juice,PHD,FL,0.049120995685007614,0.5459973767868131,8.996562579491494
fruit_juice,PHD,FL,0.02072163812291586,0.5459973767868131,3.7951900510699166
gr_refined,PHD,FL,0,0.5459973767868131,0
gr_whole,PHD,FL,0.029280394331819372,0.5459973767868131,5.3627353494139625
leg_tot,PHD,FL,0.030819840851100205,0.5459973767868131,5.644686615982394
oil,PHD,FL,0.018049811824410865,0.5459973767868131,3.3058422241208834
pf_egg,PHD,FL,0.004442087325185881,0.5459973767868131,0.8135730159231721
pf_ns,PHD,FL,0.10829331887138104,0.5459973767868131,19.834036476271315
pf_poultry_tot,PHD,FL,0.012510397385817084,0.5459973767868131,2.291292580825314
pf_redm_tot,PHD,FL,0.02705478790117639,0.5459973767868131,4.955113165633402
pf_seafood,PHD,FL,0.0562034641521479,0.5459973767868131,10.293724208512593
sat_fat,PHD,FL,0.019361058837387472,0.5459973767868131,3.5459985085142773
veg_dg,PHD,FL,0.026922060302904963,0.5459973767868131,4.930803964909302
veg_oth,PHD,FL,0.02335313579670226,0.5459973767868131,4.277151647528993
veg_ro,PHD,FL,0.023926145279133816,0.5459973767868131,4.382098943393985
veg_sta,PHD,FL,0.0036185039425228873,0.5459973767868131,0.6627328438494946
added_sugar,VEG,FL,0.012936626012310574,0.5678231192388492,2.2782844822612636
dairy_tot,VEG,FL,0.18338896854450973,0.5678231192388492,32.296847791322314
fruit_exc_juice,VEG,FL,0.0951841280624717,0.5678231192388492,16.762989184037334
fruit_juice,VEG,FL,0.061033682083465934,0.5678231192388492,10.748713818711689
gr_refined,VEG,FL,0.010379988335941578,0.5678231192388492,1.828032002264307
gr_whole,VEG,FL,0.01322079485447466,0.5678231192388492,2.3283297925939967
leg_tot,VEG,FL,0.023841806944113753,0.5678231192388492,4.198808772716585
oil,VEG,FL,0.015229528726846669,0.5678231192388492,2.68209028671841
pf_egg,VEG,FL,0.00915265245574014,0.5678231192388492,1.611884431195583
pf_ns,VEG,FL,0.040609994576767894,0.5678231192388492,7.15187409614537
pf_poultry_tot,VEG,FL,0,0.5678231192388492,0
pf_redm_tot,VEG,FL,0,0.5678231192388492,0
pf_seafood,VEG,FL,0,0.5678231192388492,0
sat_fat,VEG,FL,0.028485550313952848,0.5678231192388492,5.016623900790957
veg_dg,VEG,FL,0.008509294060025319,0.5678231192388492,1.4985818244652993
veg_oth,VEG,FL,0.02335313579670226,0.5678231192388492,4.1127483199357
veg_ro,VEG,FL,0.033838405466203536,0.5678231192388492,5.9593215421666805
veg_sta,VEG,FL,0.008658563005322624,0.5678231192388492,1.5248697546745158
