foodgroup,pattern,data_type,value,sum,prop
added_sugar,CURRENT,FL,0.026335308106612706,NA,NA
dairy_tot,CURRENT,FL,0.08468760019140209,NA,NA
fruit_exc_juice,CURRENT,FL,0.04352732825797747,NA,NA
fruit_juice,CURRENT,FL,0.027984179674446247,NA,NA
gr_refined,CURRENT,FL,0.018168301831184536,NA,NA
gr_whole,CURRENT,FL,0.0033518034017754627,NA,NA
leg_tot,CURRENT,FL,0.004790271008218191,NA,NA
oil,CURRENT,FL,0.01555565754957422,NA,NA
pf_egg,CURRENT,FL,0.01274032208278466,NA,NA
pf_ns,CURRENT,FL,0.030363192377809618,NA,NA
pf_poultry_tot,CURRENT,FL,0.028634250506871486,NA,NA
pf_redm_tot,CURRENT,FL,0.1654748803099123,NA,NA
pf_seafood,CURRENT,FL,0.04450076370407042,NA,NA
sat_fat,CURRENT,FL,NA,NA,NA
veg_dg,CURRENT,FL,0.006695901406351599,NA,NA
veg_oth,CURRENT,FL,0.022808889554095397,NA,NA
veg_ro,CURRENT,FL,0.01619162694089074,NA,NA
veg_sta,CURRENT,FL,0.005219055582100953,NA,NA
added_sugar,HUS,FL,0.012419160971818152,0.772848185705018,1.6069340915239358
dairy_tot,HUS,FL,0.18338896854450973,0.772848185705018,23.728977040583484
fruit_exc_juice,HUS,FL,0.0951841280624717,0.772848185705018,12.316018827894581
fruit_juice,HUS,FL,0.061033682083465934,0.772848185705018,7.897240779285646
gr_refined,HUS,FL,0.010379988335941578,0.772848185705018,1.3430824485241697
gr_whole,HUS,FL,0.011332109875263993,0.772848185705018,1.4662788999014682
leg_tot,HUS,FL,0.007805858501275677,0.772848185705018,1.0100118814608994
oil,HUS,FL,0.015229528726846669,0.772848185705018,1.9705718417328992
pf_egg,HUS,FL,0.010250970750428957,0.772848185705018,1.3263886672746314
pf_ns,HUS,FL,0.02558429658336377,0.772848185705018,3.3103909741374262
pf_poultry_tot,HUS,FL,0.022831475229116174,0.772848185705018,2.9541992400860124
pf_redm_tot,HUS,FL,0.13254430465513825,0.772848185705018,17.150108793258912
pf_seafood,HUS,FL,0.083158186755729,0.772848185705018,10.75996402577685
sat_fat,HUS,FL,0.027346128301394733,0.772848185705018,3.5383570547492043
veg_dg,HUS,FL,0.008509294060025319,0.772848185705018,1.1010304762846608
veg_oth,HUS,FL,0.02335313579670226,0.772848185705018,3.0216976928526718
veg_ro,HUS,FL,0.033838405466203536,0.772848185705018,4.378402652952469
veg_sta,HUS,FL,0.008658563005322624,0.772848185705018,1.1203446117200873
added_sugar,MED,FL,0.012419160971818152,0.8238907656822997,1.5073795567466164
dairy_tot,MED,FL,0.1222593123630065,0.8238907656822997,14.839262370146637
fruit_exc_juice,MED,FL,0.11867112070126341,0.8238907656822997,14.403744482193185
fruit_juice,MED,FL,0.07695551219219617,0.8238907656822997,9.340499420267925
gr_refined,MED,FL,0.010379988335941578,0.8238907656822997,1.2598743387232239
gr_whole,MED,FL,0.011332109875263993,0.8238907656822997,1.3754383890781179
leg_tot,MED,FL,0.007805858501275677,0.8238907656822997,0.9474385229711012
oil,MED,FL,0.015229528726846669,0.8238907656822997,1.848488824150667
pf_egg,MED,FL,0.010250970750428957,0.8238907656822997,1.2442147888306143
pf_ns,MED,FL,0.02558429658336377,0.8238907656822997,3.1053020192763423
pf_poultry_tot,MED,FL,0.022831475229116174,0.8238907656822997,2.7711774643096576
pf_redm_tot,MED,FL,0.13254430465513825,0.8238907656822997,16.087606534268236
