diet,sim,value,rank
MED_total_FL,min_fruit_juice,0.757089135834261,5
PHD_total_FL,min_gr_refined,0.545997376786813,1
VEG_total_FL,min_gr_refined,0.56232298637775,2
CURRENT_total_FL,min_gr_refined,0.600642704667448,3
HUS_total_FL,min_gr_refined,0.767348052843919,4
MED_total_FL,min_gr_refined,0.818390632821201,5
PHD_total_FL,min_gr_whole,0.520596771678124,1
VEG_total_FL,min_gr_whole,0.556354141549687,2
CURRENT_total_FL,min_gr_whole,0.607362023787642,3
HUS_total_FL,min_gr_whole,0.763017633400022,4
MED_total_FL,min_gr_whole,0.814060213377304,5
PHD_total_FL,min_leg_tot,0.519314645914071,1
VEG_total_FL,min_leg_tot,0.547181723934987,2
CURRENT_total_FL,min_leg_tot,0.606122449922081,3
HUS_total_FL,min_leg_tot,0.76609014880838,4
MED_total_FL,min_leg_tot,0.817132728785662,5
PHD_total_FL,min_oil,0.530208421261798,1
VEG_total_FL,min_oil,0.554501188014618,2
CURRENT_total_FL,min_oil,0.596662487265712,3
HUS_total_FL,min_oil,0.759526254480787,4
MED_total_FL,min_oil,0.810568834458068,5
PHD_total_FL,min_pf_egg,0.545914649494322,1
VEG_total_FL,min_pf_egg,0.567652664652673,2
CURRENT_total_FL,min_pf_egg,0.610032427943762,3
HUS_total_FL,min_pf_egg,0.772657276568501,4
MED_total_FL,min_pf_egg,0.823699856545783,5
PHD_total_FL,min_pf_ns,0.441498229415791,1
VEG_total_FL,min_pf_ns,0.528635938974716,2
CURRENT_total_FL,min_pf_ns,0.580970311890632,3
HUS_total_FL,min_pf_ns,0.748160262138614,4
MED_total_FL,min_pf_ns,0.799202842115896,5
PHD_total_FL,min_pf_poultry_tot,0.543117290477557,1
VEG_total_FL,min_pf_poultry_tot,0.567823119238849,2
CURRENT_total_FL,min_pf_poultry_tot,0.603677651732806,3
HUS_total_FL,min_pf_poultry_tot,0.767592028190626,4
MED_total_FL,min_pf_poultry_tot,0.818634608167907,5
CURRENT_total_FL,min_pf_redm_tot,0.473069633535289,1
PHD_total_FL,min_pf_redm_tot,0.523565460687782,2
VEG_total_FL,min_pf_redm_tot,0.567823119238849,3
HUS_total_FL,min_pf_redm_tot,0.662951825316281,4
MED_total_FL,min_pf_redm_tot,0.713994405293563,5
PHD_total_FL,min_pf_seafood,0.498024625184729,1
VEG_total_FL,min_pf_seafood,0.567823119238849,2
CURRENT_total_FL,min_pf_seafood,0.57228584520423,3
MED_total_FL,min_pf_seafood,0.690803093827027,4
HUS_total_FL,min_pf_seafood,0.701868094048873,5
PHD_total_FL,min_sat_fat,0.531271532345206,1
VEG_total_FL,min_sat_fat,0.546157269954469,2
CURRENT_total_FL,min_sat_fat,0.56977556244389,3
HUS_total_FL,min_sat_fat,0.752048970392013,4
MED_total_FL,min_sat_fat,0.803091550369295,5
PHD_total_FL,min_veg_dg,0.5288268476726,1
VEG_total_FL,min_veg_dg,0.562396005572393,2
CURRENT_total_FL,min_veg_dg,0.605999141418593,3
HUS_total_FL,min_veg_dg,0.767421072038561,4
MED_total_FL,min_veg_dg,0.818463652015843,5
PHD_total_FL,min_veg_oth,0.531671275337091,1
VEG_total_FL,min_veg_oth,0.553497017789127,2
CURRENT_total_FL,min_veg_oth,0.596277466765394,3
HUS_total_FL,min_veg_oth,0.758522084255296,4
MED_total_FL,min_veg_oth,0.809564664232578,5
PHD_total_FL,min_veg_ro,0.525442460232444,1
VEG_total_FL,min_veg_ro,0.53875259439767,2
CURRENT_total_FL,min_veg_ro,0.596359494433458,3
HUS_total_FL,min_veg_ro,0.743777660863839,4
MED_total_FL,min_veg_ro,0.794820240841121,5
PHD_total_FL,min_veg_sta,0.543277073621799,1
VEG_total_FL,min_veg_sta,0.561313822379708,2
CURRENT_total_FL,min_veg_sta,0.606346138639028,3
HUS_total_FL,min_veg_sta,0.766338888845877,4
MED_total_FL,min_veg_sta,0.817381468823159,5
