fcidcode,consumed_mean,inedible_mean,fl_mean,FLper100gram,fcid_desc,Foodgroup_FCID,my_sum,my_consumed_sum,my_inedible_sum,my_prop,my_consumed_prop,my_inedible_prop
101052000,13.959138329666311,0,0.006295571386679507,0.0451,"Beet, sugar",added_sugar,0.02225999887637346,81.13466215814263,0,28.28199328150714,17.204901035340516,NA
101053000,0.26853887778624996,0,1.2111103388159873e-4,0.045099999999999994,"Beet, sugar, molasses",added_sugar,0.02225999887637346,81.13466215814263,0,0.5440747528974261,0.33097922718015477,NA
1500124000,45.70691329092817,0,0.005384274385671338,0.011779999999999999,"Corn, field, syrup",added_sugar,0.02225999887637346,81.13466215814263,0,24.188116161075612,56.33463192567327,NA
9500186000,1.3255657163782248,0,0.001566818676759062,0.11820000000000001,Honey,added_sugar,0.02225999887637346,81.13466215814263,0,7.038718579730332,1.6337847242088896,NA
9500219000,0.17884614367063278,0,1.9673075803769606e-5,0.011000000000000001,Maple syrup,added_sugar,0.02225999887637346,81.13466215814263,0,0.08837860196233169,0.2204312422254708,NA
9500218000,0.033816363942925996,0,5.05892804586173e-6,0.014960000000000003,"Maple, sugar",added_sugar,0.02225999887637346,81.13466215814263,0,0.022726542233707053,0.041679305790431775,NA
9500363000,0.1279799201867206,0,5.7718944004210995e-5,0.0451,"Sugarcane, molasses",added_sugar,0.02225999887637346,81.13466215814263,0,0.2592944605467762,0.15773766326563377,NA
9500362000,19.5338635155834,0,0.008809772445528113,0.0451,"Sugarcane, sugar",added_sugar,0.02225999887637346,81.13466215814263,0,39.57669762004668,24.075854876315635,NA
3600222000,17.3111627948085,0,0.02407130879877618,0.13905079100749376,"Milk, fat",dairy,0.06802029236107351,216.017292691774,0,35.388423017939935,8.013785646091339,NA
3600223000,29.632340541445032,0,0.041204003916913576,0.13905079100749376,"Milk, nonfat solids",dairy,0.06802029236107351,216.017292691774,0,60.57604648064362,13.717577964337407,NA
3600224000,159.35198644478635,0,0,0,"Milk, water",dairy,0.06802029236107351,216.017292691774,0,0,73.76816201106594,NA
600349000,9.721802910734135,0,0.002744979645383756,0.028235294117647056,"Soybean, soy milk",dairy,0.06802029236107351,216.017292691774,0,4.035530501416436,4.500474378505321,NA
1100009000,0.14837920273857608,0,5.566445790737682e-5,0.03751500000000001,"Apple, dried",fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.18290226031820667,0.13826662879065094,0
1100007000,17.124723084406416,2.4463891343775095,0.0011595150000451584,0.005924624962971095,"Apple, fruit with peel",fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,3.8099340648212756,15.957611890030265,2.802298869319518
1100008000,0.6365223439311524,0.09093175523487736,5.047622187374039e-5,0.006938750078060939,"Apple, peeled fruit",fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.16585475580113287,0.5931410670829992,0.10416084313780896
1100011000,1.4054629488525243,0,1.2002653583200556e-4,0.008539999999999999,"Apple, sauce",fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.3943831580712968,1.3096756165376233,0
1202012000,0.2397551896371957,0.020220316383727788,2.4598882456776283e-5,0.009462000029647604,Apricot,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.08082700113836941,0.22341501500452382,0.02316204276055267
1202013000,0.07694108295948288,0,1.8850565325073305e-5,0.0245,"Apricot, dried",fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.06193918230496238,0.07169727266329151,0
2402020000,4.289404130501922,2.6553455039934675,0.006711416172789835,0.09664014580818638,Avocado,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,22.0523693948837,3.9970658805204855,3.041654984045276
902021000,0.06561523435311765,0.009373604063963793,1.568204101039512e-5,0.020912500235265627,Balsam pear,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.0515280459925932,0.061143321192380404,0.010737310634997752
2402023000,22.80799244352088,18.661085908385783,0.0054438116364195635,0.013127399625869111,Banana,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,17.887274761652577,21.25354609300913,21.375969671583018
2402024000,0.03326790155130396,0,3.074353318159102e-5,0.09241200000000001,"Banana, dried",fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.10101709278184852,0.031000574942718608,0
1301055000,0.5035604922439895,0,1.1259612606575605e-4,0.02236,Blackberry,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.36996831972689237,0.4692410416667893,0
1302057000,2.6017666826886514,0.149526809480137,0.0014396875938657654,0.05232766325961427,Blueberry,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,4.73052509571341,2.4244469674702565,0.1712805224855462
1301058000,0.07340819656756023,0,1.641407275250647e-5,0.02236,Boysenberry,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.05393335568732924,0.06840516512870563,0
901075000,2.7271560069524656,16.70382917900585,4.276180618901467e-4,0.002200701908821187,Cantaloupe,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,1.4050673088874848,2.5412905603209404,19.13396399773709
902088000,0.06320070110584115,0.018524344168547868,1.1502527601263091e-5,0.014074666539056358,"Chayote, fruit",fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,0.03779500199470679,0.058893347031297574,0.021219334237934366
1201090000,1.5500107780658203,0.34875244056491733,3.5141844360308275e-4,0.0185077549509571,Cherry,fruit_exc_juice,0.030433991253325045,107.31382115581667,87.29936557307914,1.1546906243021566,1.4443719936272217,0.3994902348665676
