foodgroup,pattern,data_type,value,sum,prop
leg_tot,CURRENT,"Consumed, inedible, and wasted (g)",26.79264049805207,268.8044088182123,9.967336702491163
pf_egg,CURRENT,"Consumed, inedible, and wasted (g)",45.889497421094305,268.8044088182123,17.07170564011417
pf_ns,CURRENT,"Consumed, inedible, and wasted (g)",12.973252551544283,268.8044088182123,4.826279676207939
pf_poultry_tot,CURRENT,"Consumed, inedible, and wasted (g)",65.21362331811041,268.8044088182123,24.260622660476237
pf_redm_tot,CURRENT,"Consumed, inedible, and wasted (g)",89.47726679633845,268.8044088182123,33.287127688761366
pf_seafood,CURRENT,"Consumed, inedible, and wasted (g)",28.458128233072827,268.8044088182123,10.58692763194913
leg_tot,CURRENT,FL,0.004790271008218191,0.2865036799896667,1.6719753855835155
pf_egg,CURRENT,FL,0.01274032208278466,0.2865036799896667,4.446826680636062
pf_ns,CURRENT,FL,0.030363192377809618,0.2865036799896667,10.597836781330251
pf_poultry_tot,CURRENT,FL,0.028634250506871486,0.2865036799896667,9.994374420567386
pf_redm_tot,CURRENT,FL,0.1654748803099123,0.2865036799896667,57.75663346309565
pf_seafood,CURRENT,FL,0.04450076370407042,0.2865036799896667,15.532353268787134
leg_tot,HUS,"Consumed, inedible, and wasted (g)",43.65923352656724,268.3618346738193,16.268793802081767
pf_egg,HUS,"Consumed, inedible, and wasted (g)",36.9230772,268.3618346738193,13.758691598184294
pf_ns,HUS,"Consumed, inedible, and wasted (g)",10.931378255606653,268.3618346738193,4.073372903003591
pf_poultry_tot,HUS,"Consumed, inedible, and wasted (g)",51.99798140450881,268.3618346738193,19.376071663733338
pf_redm_tot,HUS,"Consumed, inedible, and wasted (g)",71.67070970380118,268.3618346738193,26.70674456780094
pf_seafood,HUS,"Consumed, inedible, and wasted (g)",53.17945458333543,268.3618346738193,19.816325465196066
leg_tot,HUS,FL,0.007805858501275677,0.28217509247505185,2.7663173360936604
pf_egg,HUS,FL,0.010250970750428957,0.28217509247505185,3.6328403972562824
pf_ns,HUS,FL,0.02558429658336377,0.28217509247505185,9.066816053449427
pf_poultry_tot,HUS,FL,0.022831475229116174,0.28217509247505185,8.091243996361866
pf_redm_tot,HUS,FL,0.13254430465513825,0.28217509247505185,46.97236155485871
pf_seafood,HUS,FL,0.083158186755729,0.28217509247505185,29.47042066198005
leg_tot,MED,"Consumed, inedible, and wasted (g)",43.65923352656724,314.8938574342378,13.864746007528902
pf_egg,MED,"Consumed, inedible, and wasted (g)",36.9230772,314.8938574342378,11.725562861355906
pf_ns,MED,"Consumed, inedible, and wasted (g)",10.931378255606653,314.8938574342378,3.4714485524347047
pf_poultry_tot,MED,"Consumed, inedible, and wasted (g)",51.99798140450881,314.8938574342378,16.51285986592102
pf_redm_tot,MED,"Consumed, inedible, and wasted (g)",71.67070970380118,314.8938574342378,22.760275569608034
pf_seafood,MED,"Consumed, inedible, and wasted (g)",99.71147734375393,314.8938574342378,31.665107143151435
leg_tot,MED,FL,0.007805858501275677,0.3549385058863147,2.1992143348278645
pf_egg,MED,FL,0.010250970750428957,0.3549385058863147,2.8880976790138115
pf_ns,MED,FL,0.02558429658336377,0.3549385058863147,7.208092714392141
pf_poultry_tot,MED,FL,0.022831475229116174,0.3549385058863147,6.43251573173326
pf_redm_tot,MED,FL,0.13254430465513825,0.3549385058863147,37.342892488985576
pf_seafood,MED,FL,0.15592160016699189,0.3549385058863147,43.92918705104735
leg_tot,PHD,"Consumed, inedible, and wasted (g)",172.37958243156984,313.7133286546753,54.94812195924238
pf_egg,PHD,"Consumed, inedible, and wasted (g)",16.00000012,313.7133286546753,5.100197746973079
pf_ns,PHD,"Consumed, inedible, and wasted (g)",46.27038415071599,313.7133286546753,14.749256701696858
pf_poultry_tot,PHD,"Consumed, inedible, and wasted (g)",28.492044605210317,313.7133286546753,9.082191288267948
pf_redm_tot,PHD,"Consumed, inedible, and wasted (g)",14.629341146028308,313.7133286546753,4.663283262067509
pf_seafood,PHD,"Consumed, inedible, and wasted (g)",35.94197620115085,313.7133286546753,11.456949041752232
leg_tot,PHD,FL,0.030819840851100205,0.2393238964868085,12.877878600308929
pf_egg,PHD,FL,0.004442087325185881,0.2393238964868085,1.856098530232115
pf_ns,PHD,FL,0.10829331887138104,0.2393238964868085,45.249689003517524
pf_poultry_tot,PHD,FL,0.012510397385817084,0.2393238964868085,5.2273916518431145
pf_redm_tot,PHD,FL,0.02705478790117639,0.2393238964868085,11.304674668234666
pf_seafood,PHD,FL,0.0562034641521479,0.2393238964868085,23.48426754586366
leg_tot,VEG,"Consumed, inedible, and wasted (g)",133.35048501049343,183.66891228129765,72.60373209281103
pf_egg,VEG,"Consumed, inedible, and wasted (g)",32.96703321428571,183.66891228129765,17.949163418464163
pf_ns,VEG,"Consumed, inedible, and wasted (g)",17.351394056518497,183.66891228129765,9.447104488724806
pf_poultry_tot,VEG,"Consumed, inedible, and wasted (g)",0,183.66891228129765,0
pf_redm_tot,VEG,"Consumed, inedible, and wasted (g)",0,183.66891228129765,0
pf_seafood,VEG,"Consumed, inedible, and wasted (g)",0,183.66891228129765,0
leg_tot,VEG,FL,0.023841806944113753,0.07360445397662178,32.39179921324649
pf_egg,VEG,FL,0.00915265245574014,0.07360445397662178,12.434916586226159
pf_ns,VEG,FL,0.040609994576767894,0.07360445397662178,55.17328420052735
pf_poultry_tot,VEG,FL,0,0.07360445397662178,0
pf_redm_tot,VEG,FL,0,0.07360445397662178,0
pf_seafood,VEG,FL,0,0.07360445397662178,0
