foodgroup,HUS_total_FL,MED_total_FL,VEG_total_FL,PHD_total_FL,CURRENT_total_FL
added_sugar,0.012,0.012,0.013,0.01,0.026
dairy_tot,0.183,0.122,0.183,0.082,0.085
fruit_exc_juice,0.095,0.119,0.095,0.049,0.044
fruit_juice,0.061,0.077,0.061,0.021,0.028
gr_refined,0.01,0.01,0.01,0,0.018
gr_whole,0.011,0.011,0.013,0.029,0.003
leg_tot,0.008,0.008,0.024,0.031,0.005
oil,0.015,0.015,0.015,0.018,0.016
pf_egg,0.01,0.01,0.009,0.004,0.013
pf_ns,0.026,0.026,0.041,0.108,0.03
pf_poultry_tot,0.023,0.023,0,0.013,0.029
pf_redm_tot,0.133,0.133,0,0.027,0.165
pf_seafood,0.083,0.156,0,0.056,0.045
sat_fat,0.027,0.027,0.028,0.019,NA
veg_dg,0.009,0.009,0.009,0.027,0.007
veg_oth,0.023,0.023,0.023,0.023,0.023
veg_ro,0.034,0.034,0.034,0.024,0.016
veg_sta,0.009,0.009,0.009,0.004,0.005
Total,0.773,0.824,0.568,0.546,NA
