FNDDS_Code,FNDDS_Desc,FL_Score,FL_Score_Value_grams_converted,Rank
26158011,"Tilapia, baked or broiled, made with butter","Freshwater, average (tilapia)",0.0229,Min
26158014,"Tilapia, baked or broiled, made with cooking spray","Freshwater, average (tilapia)",0.0229,Min
26158012,"Tilapia, baked or broiled, made with margarine","Freshwater, average (tilapia)",0.0229,Min
26158010,"Tilapia, baked or broiled, made with oil","Freshwater, average (tilapia)",0.0229,Min
26158013,"Tilapia, baked or broiled, made without fat","Freshwater, average (tilapia)",0.0229,Min
26158013,"Tilapia, baked or broiled, no added fat","Freshwater, average (tilapia)",0.0229,Min
26158020,"Tilapia, coated, baked or broiled, made  with oil","Freshwater, average (tilapia)",0.0229,Min
26158021,"Tilapia, coated, baked or broiled, made with butter","Freshwater, average (tilapia)",0.0229,Min
26158024,"Tilapia, coated, baked or broiled, made with cooking spray","Freshwater, average (tilapia)",0.0229,Min
26158020,"Tilapia, coated, baked or broiled, made with oil","Freshwater, average (tilapia)",0.0229,Min
26158023,"Tilapia, coated, baked or broiled, made without fat","Freshwater, average (tilapia)",0.0229,Min
26158023,"Tilapia, coated, baked or broiled, no added fat","Freshwater, average (tilapia)",0.0229,Min
26158031,"Tilapia, coated, fried, made with butter","Freshwater, average (tilapia)",0.0229,Min
26158034,"Tilapia, coated, fried, made with cooking spray","Freshwater, average (tilapia)",0.0229,Min
26158032,"Tilapia, coated, fried, made with margarine","Freshwater, average (tilapia)",0.0229,Min
26158030,"Tilapia, coated, fried, made with oil","Freshwater, average (tilapia)",0.0229,Min
26158033,"Tilapia, coated, fried, made without fat","Freshwater, average (tilapia)",0.0229,Min
26158000,"Tilapia, cooked, NS as to cooking method","Freshwater, average (tilapia)",0.0229,Min
26158050,"Tilapia, steamed or poached","Freshwater, average (tilapia)",0.0229,Min
27250040,Crab cake,"Crustaceans, average (excluding shrimps)",0.6158,Max
27550110,Crab cake sandwich,"Crustaceans, average (excluding shrimps)",0.6158,Max
27450010,Crab salad,"Crustaceans, average (excluding shrimps)",0.6158,Max
28355210,"Crab soup, cream of, prepared with milk","Crustaceans, average (excluding shrimps)",0.6158,Max
28350120,"Crab soup, tomato-base","Crustaceans, average (excluding shrimps)",0.6158,Max
26305120,"Crab, baked or broiled, fat added","Crustaceans, average (excluding shrimps)",0.6158,Max
26305120,"Crab, baked or broiled, fat added in cooking","Crustaceans, average (excluding shrimps)",0.6158,Max
26305121,"Crab, baked or broiled, no added fat","Crustaceans, average (excluding shrimps)",0.6158,Max
26305130,"Crab, coated, baked or broiled, fat added in cooking","Crustaceans, average (excluding shrimps)",0.6158,Max
26305110,"Crab, cooked, NS as to cooking method","Crustaceans, average (excluding shrimps)",0.6158,Max
26305160,"Crab, hard shell, steamed","Crustaceans, average (excluding shrimps)",0.6158,Max
26307140,"Crab, soft shell, coated, fried","Crustaceans, average (excluding shrimps)",0.6158,Max
26309160,"Crayfish, boiled or steamed","Crustaceans, average (excluding shrimps)",0.6158,Max
26309140,"Crayfish, coated, fried","Crustaceans, average (excluding shrimps)",0.6158,Max
28355250,Lobster bisque,"Crustaceans, average (excluding shrimps)",0.6158,Max
28355260,Lobster gumbo,"Crustaceans, average (excluding shrimps)",0.6158,Max
27150060,Lobster newburg,"Crustaceans, average (excluding shrimps)",0.6158,Max
27450020,Lobster salad,"Crustaceans, average (excluding shrimps)",0.6158,Max
26311120,"Lobster, baked or broiled, fat added","Crustaceans, average (excluding shrimps)",0.6158,Max
26311120,"Lobster, baked or broiled, fat added in cooking","Crustaceans, average (excluding shrimps)",0.6158,Max
26311121,"Lobster, baked or broiled, no added fat","Crustaceans, average (excluding shrimps)",0.6158,Max
26311140,"Lobster, coated, fried","Crustaceans, average (excluding shrimps)",0.6158,Max
26311110,"Lobster, cooked, NS as to cooking method","Crustaceans, average (excluding shrimps)",0.6158,Max
26311160,"Lobster, steamed or boiled","Crustaceans, average (excluding shrimps)",0.6158,Max
