foodgroup,fl_mean,fl_nofeed_mean,purchased_mean,consumed_mean,wasted_mean,inedible_mean,FLper100gram,FLper100gram_nofeed,FLperDGA,FLperDGA_nofeed,wasted_coef,inedible_coef
added_sugar,0.02225999887637346,0.02225999887637346,122.42179067927111,81.13466215814263,41.28712852112848,0,0.027435868079398244,0.027435868079398244,0.0011523064593347264,0.0011523064593347264,0.5088716391109657,0
dairy_tot,0.06802029236107351,0.05394896746427812,281.4519280881058,216.017292691774,65.43463539633177,0,0.03148835517447615,0.024974374408652387,0.046917649209969464,0.03721181786889206,0.3029138759261172,0
fruit_exc_juice,0.030433991253325045,0.030433991253325045,279.04178345013645,107.31382115581667,84.42859672124067,87.29936557307914,0.015638195830851305,0.015638195830851305,0.023770057662893983,0.023770057662893983,0.7867448555266027,0.813496012282732
fruit_juice,0.026374202468940806,0.026374202468940806,65.01592127530232,56.95482468235219,8.061096592950125,0,0.04630723141724114,0.04630723141724114,0.11623115085727526,0.11623115085727526,0.14153492066578,0
gr_refined,0.008014825105575272,0.008014825105575272,138.97966479572807,107.65546964171462,31.32419515401345,0,0.007444884251816657,0.007444884251816657,0.002680158330653996,0.002680158330653996,0.2909670568366168,0
gr_whole,0.0020545969734797518,0.0020545969734797518,47.098127823697006,33.59318077306833,8.206169191649707,5.298777858978966,0.0052828323533871775,0.0052828323533871775,0.0026942445002274607,0.0026942445002274607,0.24428080350844883,0.15773373455683595
leg_tot,0.004063556919112435,0.004063556919112435,27.640485628629033,21.550587465673043,4.912456360479438,1.1774418024765514,0.01787905528970339,0.01787905528970339,0.006615250457190255,0.006615250457190255,0.22794999757218998,0.054636181234133184
oil,0.014740860120871313,0.014740860120871313,37.47503642197101,31.294721731578747,6.1803146903922626,0,0.04710334300878818,0.04710334300878818,4.710334300878818e-4,4.710334300878818e-4,0.19748744671392482,0
pf_egg,0.010291789250544914,0.007657993202318934,48.14298946207583,31.29294291565222,11.072887685802742,5.7771588606208715,0.02776304557418892,0.02065813913470416,0.01388152278709446,0.01032906956735208,0.35384616,0.18461539
pf_poultry_tot,0.024084309415164117,0.016679387605544653,67.36314255995289,54.85127266384789,12.511869896105004,0,0.0439083876189402,0.030408387618940203,0.012733432409492656,0.008818432409492658,0.2281053709142376,0
pf_redm_tot,0.11599700785915527,0.08524410295537932,81.92834188631493,62.72308643071353,19.2052554556014,0,0.1849351083628359,0.13590546608311985,0.057329883592479126,0.04213069448576715,0.3061911737525274,0
sat_fat,0.027409397591133734,0.020005297228770834,28.20360634671759,19.414379391927508,8.789226954790081,0,0.1411809104880816,0.1030437122140975,0.001411809104880816,0.001030437122140975,0.4527173790806127,0
veg_dg,0.004778582412920169,0.004778582412920169,36.952297709214974,17.279591716777535,6.5862167104094285,13.086489282028012,0.015736579287620737,0.015736579287620737,0.01856916355939247,0.01856916355939247,0.3811558061302209,0.7573378756004836
veg_oth,0.011350260455018097,0.011350260455018097,112.69998481133888,56.93031742053883,35.72832319511675,20.0413441956833,0.014746024987235016,0.014746024987235016,0.02064443498212902,0.02064443498212902,0.6275799049423005,0.35203289044815617
veg_ro,0.014217816982005728,0.014217816982005728,135.14375009932135,71.32347870982407,45.066811030970015,18.753460358527274,0.015784080952414573,0.015784080952414573,0.022729076571476985,0.022729076571476985,0.6318650162076647,0.2629353012186179
veg_sta,0.0029028865762148,0.0029028865762148,199.7253358041845,44.472314165247994,55.6119109638738,99.64111067506272,0.00201430684159469,0.00201430684159469,0.002699171167736885,0.002699171167736885,1.250483857377735,2.240520030165763
pf_seafood,0.02831302071770295,0.02546736208938868,29.052198875387926,18.10610666388044,10.946092211507485,0,0.15637277103964106,0.14065620269537615,0.0453481036014959,0.04079029878165908,0.6045525089799485,0
pf_ns,0.02722488614809481,0.02722488614809481,13.18289950758702,11.396403768463658,1.5505480969889722,0.23594764213439043,0.23404456405340932,0.23404456405340932,0.0351066846080114,0.0351066846080114,0.13605591101288267,0.020703692755017083
