FNDDS code,FNDDS description,Species,FL Score,Weighted_Risk_Total,Weighted_Risk_Total_NOFEED,Notes
26113110,"Eel, cooked, NS as to cooking method",Eel,"Freshwater, average (excluding tilapia)",751,737,
26115121,"Flounder, baked or broiled, made with butter",Flounder,"Demersal, average",1306,1306,
26115124,"Flounder, baked or broiled, made with cooking spray",Flounder,"Demersal, average",1306,1306,
26115120,"Flounder, baked or broiled, made with oil",Flounder,"Demersal, average",1306,1306,
26115123,"Flounder, baked or broiled, made without fat",Flounder,"Demersal, average",1306,1306,
26115123,"Flounder, baked or broiled, no added fat",Flounder,"Demersal, average",1306,1306,
26115130,"Flounder, coated, baked or broiled, made with oil",Flounder,"Demersal, average",1306,1306,
26115140,"Flounder, coated, fried, made with oil",Flounder,"Demersal, average",1306,1306,
26115160,"Flounder, steamed or poached",Flounder,"Demersal, average",1306,1306,
26203110,"Frog legs, NS as to cooking method",Frog,None,,,We decided frog legs did not count as seafood
26117120,"Haddock, baked or broiled, fat added",Haddock,"Demersal, average",1306,1306,
26117120,"Haddock, baked or broiled, fat added in cooking",Haddock,"Demersal, average",1306,1306,
26117121,"Haddock, baked or broiled, fat not added in cooking",Haddock,"Demersal, average",1306,1306,
26117121,"Haddock, baked or broiled, no added fat",Haddock,"Demersal, average",1306,1306,
26117130,"Haddock, coated, baked or broiled, fat added",Haddock,"Demersal, average",1306,1306,
26117130,"Haddock, coated, baked or broiled, fat added in cooking",Haddock,"Demersal, average",1306,1306,
26117131,"Haddock, coated, baked or broiled, fat not added in cooking",Haddock,"Demersal, average",1306,1306,
26117140,"Haddock, coated, fried",Haddock,"Demersal, average",1306,1306,
26117160,"Haddock, steamed or poached",Haddock,"Demersal, average",1306,1306,
26118020,"Halibut, baked or broiled, made with oil",Halibut,"Demersal, average",1306,1306,
26118030,"Halibut, coated, baked or broiled, made with oil",Halibut,"Demersal, average",1306,1306,
26118050,"Halibut, steamed or poached",Halibut,"Demersal, average",1306,1306,
26119120,"Herring, baked or broiled, fat added",Herring,"Pelagic, average (excluding tuna)",996,996,
26119120,"Herring, baked or broiled, fat added in cooking",Herring,"Pelagic, average (excluding tuna)",996,996,
26119121,"Herring, baked or broiled, fat not added in cooking",Herring,"Pelagic, average (excluding tuna)",996,996,
26119130,"Herring, coated, baked or broiled, fat added in cooking",Herring,"Pelagic, average (excluding tuna)",996,996,
26119140,"Herring, coated, fried",Herring,"Pelagic, average (excluding tuna)",996,996,
26119110,"Herring, cooked, NS as to cooking method",Herring,"Pelagic, average (excluding tuna)",996,996,
28355250,Lobster bisque,Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
28355260,Lobster gumbo,Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
27150060,Lobster newburg,Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
